380	0.1044394008+1.319388307e-006i	0.1035910901+5.110802146e-006i	0.1021543253+1.111204345e-005i	0.1000984871+1.96117469e-005i	0.09738850805+3.297454362e-005i	0.09400926719+6.451119668e-005i
378	0.1044366413+1.338765298e-006i	0.1035798977+5.184819554e-006i	0.1021286074+1.127347476e-005i	0.1000515807+1.991597752e-005i	0.09731332696+3.361588124e-005i	0.09390073532+6.694242544e-005i
376	0.1044338407+1.358515252e-006i	0.1035685372+5.260234912e-006i	0.1021024975+1.143798879e-005i	0.1000039491+2.022672418e-005i	0.09723698176+3.427714916e-005i	0.09379076026+6.956393392e-005i
374	0.1044309983+1.378648435e-006i	0.103557005+5.337087567e-006i	0.1020759876+1.160568143e-005i	0.0999555774+2.05442433e-005i	0.09715944969+3.495954989e-005i	0.09367934727+7.240163559e-005i
372	0.1044281132+1.399175252e-006i	0.1035452979+5.415417283e-006i	0.1020490693+1.177664962e-005i	0.09990645027+2.086879735e-005i	0.09708070749+3.566436586e-005i	0.09356650721+7.548620441e-005i
370	0.1044251846+1.420106277e-006i	0.1035334122+5.495264365e-006i	0.1020217344+1.195099164e-005i	0.099856552+2.120065592e-005i	0.09700073138+3.639296918e-005i	0.09345225782+7.885419086e-005i
368	0.1044222116+1.441452279e-006i	0.1035213442+5.576669772e-006i	0.101993974+1.212880745e-005i	0.09980586644+2.154009667e-005i	0.09691949704+3.714683246e-005i	0.09333662534+8.254944871e-005i
366	0.1044191933+1.46322425e-006i	0.1035090902+5.659675223e-006i	0.1019657793+1.231019898e-005i	0.09975437703+2.188740637e-005i	0.09683697969+3.792754091e-005i	0.09321964658+8.662497095e-005i
364	0.1044161287+1.485433427e-006i	0.1034966463+5.744323292e-006i	0.1019371411+1.249527041e-005i	0.09970206674+2.224288196e-005i	0.09675315401+3.873680601e-005i	0.09310137147+9.1145267e-005i
362	0.104413017+1.508091312e-006i	0.1034840087+5.830657502e-006i	0.1019080502+1.26841284e-005i	0.09964891809+2.260683154e-005i	0.09666799421+3.957648091e-005i	0.09298186643+9.618945851e-005i
360	0.1044098571+1.531209697e-006i	0.1034711731+5.91872241e-006i	0.1018784967+1.287688242e-005i	0.09959491314+2.297957548e-005i	0.096581474+4.044857793e-005i	0.09286121858+0.0001018553301i
358	0.104406648+1.554800683e-006i	0.1034581356+6.008563688e-006i	0.1018484709+1.30736449e-005i	0.09954003345+2.336144755e-005i	0.09649356664+4.135528857e-005i	0.09273954127+0.0001082646461i
356	0.1044033888+1.578876697e-006i	0.1034448917+6.100228207e-006i	0.1018179625+1.327453157e-005i	0.09948426008+2.375279605e-005i	0.09640424493+4.229900634e-005i	0.0926169813+0.0001155701341i
354	0.1044000783+1.603450513e-006i	0.103431437+6.193764111e-006i	0.1017869611+1.347966164e-005i	0.0994275736+2.415398506e-005i	0.09631348125+4.328235316e-005i	0.09249372828+0.0001239646255i
352	0.1043967155+1.62853527e-006i	0.1034177672+6.289220891e-006i	0.1017554559+1.368915807e-005i	0.09936995404+2.456539572e-005i	0.09622124755+4.430820973e-005i	0
350	0.1043932993+1.654144493e-006i	0.1034038775+6.386649465e-006i	0.101723436+1.390314779e-005i	0.09931138088+2.49874276e-005i	0.09612751547+4.537975093e-005i	0
348	0.1043898285+1.680292107e-006i	0.1033897631+6.486102251e-006i	0.1016908899+1.412176199e-005i	0.09925183306+2.542050017e-005i	0.09603225628+4.650048701e-005i	0
346	0.104386302+1.706992461e-006i	0.1033754192+6.58763324e-006i	0.101657806+1.434513634e-005i	0.09919128892+2.586505437e-005i	0.09593544102+4.767431194e-005i	0
344	0.1043827186+1.73426034e-006i	0.1033608408+6.691298075e-006i	0.1016241723+1.457341125e-005i	0.09912972624+2.632155427e-005i	0.09583704051+4.890556024e-005i	0
342	0.1043790769+1.762110993e-006i	0.1033460226+6.797154124e-006i	0.1015899765+1.480673215e-005i	0.09906712217+2.679048891e-005i	0.09573702545+5.019907431e-005i	0
340	0.1043753759+1.790560144e-006i	0.1033309594+6.905260561e-006i	0.101555206+1.504524976e-005i	0.09900345323+2.727237425e-005i	0.09563536651+5.156028453e-005i	0
338	0.1043716141+1.819624017e-006i	0.1033156457+7.015678449e-006i	0.1015198476+1.528912039e-005i	0.0989386953+2.776775533e-005i	0.09553203447+5.299530501e-005i	0
336	0.1043677902+1.849319358e-006i	0.1033000759+7.128470815e-006i	0.101483888+1.553850622e-005i	0.09887282361+2.827720854e-005i	0.09542700031+5.451104882e-005i	0
334	0.1043639028+1.879663449e-006i	0.1032842442+7.243702744e-006i	0.1014473133+1.579357564e-005i	0.09880581267+2.880134422e-005i	0.09532023545+5.611536742e-005i	0
332	0.1043599506+1.91067414e-006i	0.1032681447+7.361441457e-006i	0.1014101095+1.605450356e-005i	0.09873763632+2.934080937e-005i	0.0952117119+5.781722046e-005i	0
330	0.104355932+1.942369864e-006i	0.1032517712+7.481756414e-006i	0.1013722618+1.632147178e-005i	0.09866826766+2.989629074e-005i	0.09510140257+5.962688402e-005i	0
328	0.1043518457+1.974769663e-006i	0.1032351175+7.6047194e-006i	0.1013337553+1.659466933e-005i	0.09859767904+3.046851812e-005i	0.09498928152+6.155620766e-005i	0
326	0.1043476899+2.007893215e-006i	0.1032181771+7.730404624e-006i	0.1012945744+1.687429288e-005i	0.09852584205+3.105826807e-005i	0.0948753244+6.361893421e-005i	0
324	0.1043434633+2.041760855e-006i	0.1032009433+7.858888827e-006i	0.1012547033+1.716054716e-005i	0.09845272749+3.166636796e-005i	0.09475950892+6.583110078e-005i	0
