35	0.1561928371	0.2264186446	0.1571460969	-0.01342002189
34	0.16139952	0.2293547134	0.1482111804	-0.0322815652
33	0.1668783872	0.2319816739	0.1377529799	-0.05110920296
32	0.1726467574	0.234214136	0.1255942581	-0.06447381166
31	0.1787228085	0.2359487351	0.1115483971	-0.002974025652
30	0.1851254608	0.2370603575	0.09542520585	-0.001230812686
29	0.1918741774	0.2373975807	0.07704145133	-0.0008353534315
28	0.1989886492	0.2367771899	0.05623969765	-0.0006934068241
27	0.2064883125	0.2349776363	0.0329230918	-0.0006594178965
26	0.2143916304	0.2317313261	0.007125641936	-0.0007096044479
25	0.2227150342	0.2267157061	-0.02081691165	-0.0008839263511
24	0.2314713819	0.2195432872	-0.04966911319	-0.001399736985
23	0.2406677183	0.2097511007	-0.07213464974	-0.004795157695
22	0.2503020273	0.1967907858	-0.002999438129	-0.006350312982
21	0.2603585175	0.1800218733	-0.001195575572	-0.002465769577
20	0.2708007566	0.1587135159	-0.0008031743801	-0.001642043493
